query,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
이해찬,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2600,3900,5100,5100,5100
이해찬별세,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1550,1650
이혜훈,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,750,950,750,550,550,500
이혜훈청문회,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1200,2200,2300,800,500,450,450
임성근음주운전,100,100,100,100,100,100,100,100,100,100,100,100,100,1900,2600,2650,2650,2700,850,100,100,100,100
임짱,290,260,190,160,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
임짱tv,160,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
저라뎃,170,200,210,210,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
적우,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,550
제니골든디스크,100,100,100,100,100,100,100,100,100,5100,100,100,100,100,100,100,100,100,100,100,100,100,100
제야의종,2050,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
차은우,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,550,650,750,900,1100,850
차은우세금,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1900,2100,2350,2250
차은우탈세,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1050,100,100,2100,2250,2450,700
초카구야공주,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,900
촌장엔터테인먼트,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350,400,400,400,100
최강록,100,100,100,100,160,170,100,230,100,100,100,100,190,100,100,100,100,100,100,100,100,100,100
최강록우승,100,100,100,100,100,100,100,400,600,600,650,700,100,650,100,100,100,100,100,100,100,100,100
최미나수,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3050,3500,3900,4500,1050,550
크루셜스타,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2050,2450,100,100,100,100,100,100,100
탁재훈,100,100,100,100,400,450,450,450,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100
탁재훈신정환,100,100,1800,2850,3950,4700,5100,5100,800,260,100,100,100,100,100,100,100,100,100,100,100,100,100
트럼프,100,100,300,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
트레이비,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,800,1250,1250,1350,1300,1200,1000
티원한화,100,100,100,100,100,100,100,100,100,100,650,100,100,100,100,100,100,100,100,100,100,100,100
파워볼,100,160,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
판사이한영,100,100,100,100,400,270,100,240,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
포스코dx,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350,100,100,100,100,100,100,100,100
풍향고,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,350,350,100,100,100
풍향고2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,100,100,100,100,100
피식대학,100,100,100,100,100,100,100,210,290,280,300,280,250,100,100,100,100,100,100,100,100,100,100
필랑트,100,100,100,100,100,100,100,100,1200,1150,1000,950,900,550,100,100,100,100,100,100,100,100,100
한국우즈벡,100,100,100,100,100,100,450,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
한국호주,100,100,100,100,100,100,100,100,100,100,100,1050,100,100,100,100,100,100,100,100,100,100,100
한덕수,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2550,3750,3650,3700,3900,3250,1750,100,100
한덕수선고,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2250,3050,3200,3350,3250,3000,1900,100,100
한동훈,100,100,100,100,100,100,100,100,100,100,100,100,220,100,100,100,100,100,100,100,100,100,100
합숙맞선김태인,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150,100,100,100,100,100,100,100,100
핫소스,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350,100,350,350,350
핫소스박민정,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4200,3900,3550,4200,4400
핫이슈지,100,100,100,100,100,100,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
현대차,300,260,210,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
환승연애4최종선택,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,650,100,100,100,100,100,100,100
